time,PHOT,WTON,HROR,ES_Hydro reservoir,ES_Pumped storage fleet,ES_Waste fleet,ES_Biomass fleet,ES_OCGT fleet Standard,ES_CCGT fleet cogen
2016-01-08 10:00:00,0.455831903945111,0.08081,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 11:00:00,0.508070633418299,0.09235,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 12:00:00,0.527788675595781,0.10258,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 13:00:00,0.499936314386155,0.10844,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 14:00:00,0.448410464787091,0.10738,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 15:00:00,0.33329653720089,0.10029,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 16:00:00,0.168589057259289,0.09693,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 17:00:00,0,0.10879,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 18:00:00,0,0.12936,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 19:00:00,0,0.14641,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 20:00:00,0,0.16264,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 21:00:00,0,0.17699,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 22:00:00,0,0.18742,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-08 23:00:00,0,0.18355,0.244022153645251,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 00:00:00,0,0.17973,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 01:00:00,0,0.18096,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 02:00:00,0,0.18316,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 03:00:00,0,0.20143,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 04:00:00,0,0.21994,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 05:00:00,0,0.22452,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 06:00:00,0,0.23344,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 07:00:00,0,0.22325,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 08:00:00,0.141175910043835,0.20918,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 09:00:00,0.368567753001715,0.17297,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 10:00:00,0.527858298532726,0.16105,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 11:00:00,0.605316415675786,0.15834,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 12:00:00,0.64172384219554,0.16343,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 13:00:00,0.625,0.1888,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 14:00:00,0.560677530017153,0.2064,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 15:00:00,0.425192238130244,0.23991,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 16:00:00,0.20926243567753,0.23545,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 17:00:00,0,0.23612,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 18:00:00,0,0.23909,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 19:00:00,0,0.25297,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 20:00:00,0,0.26596,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 21:00:00,0,0.28599,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 22:00:00,0,0.29542,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-09 23:00:00,0,0.29947,0.188898584302846,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 00:00:00,0,0.30462,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 01:00:00,0,0.31358,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 02:00:00,0,0.32553,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 03:00:00,0,0.3266,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 04:00:00,0,0.31245,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 05:00:00,0,0.29651,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 06:00:00,0,0.27842,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
2016-01-10 07:00:00,0,0.26137,0.128059383606017,0.86,1,0.3508,0.18,0.96,0.92
